Level,Arabic Text,Translated Text,Topic_ID,prompt_id,CEFR_level,topic_id,level,words,words_lowvocab,words_original
Beginner,اوصف يومك المفضل,Describe your favorite day,1,1,A,1,1,"[('يوم', 'noun', 'day;some_day;today'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('شمس', 'noun', 'sun'), ('سماء', 'noun', 'Heaven;sky'), ('طعام', 'noun', 'food'), ('شراب', 'noun', 'beverage;drink'), ('صديق', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('نشاط', 'noun', 'active;activity'), ('بيت', 'noun', 'house'), ('مدرسة', 'noun', 'school'), ('حديقة', 'noun', 'garden'), ('لعبة', 'noun', 'game;toy'), ('كتاب', 'noun', 'book'), ('موسيقى', 'noun', 'music'), ('فيلم', 'noun', 'film;movie'), ('نوم', 'noun', 'sleep'), ('استيقاظ', 'noun', 'arousal;awakening'), ('زيارة', 'noun', 'visit;visiting'), ('مشي', 'verb', 'proceed;walk'), ('ضحك', 'verb', 'laugh'), ('استمتاع', 'noun', 'enjoyment'), ('قهوة', 'noun', 'coffee'), ('شاي', 'noun', 'tea')]",,"[('يوم', 'noun', 'day;some_day;today'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('شمس', 'noun', 'sun'), ('سماء', 'noun', 'Heaven;sky'), ('طعام', 'noun', 'food'), ('شراب', 'noun', 'beverage;drink'), ('صديق', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('نشاط', 'noun', 'active;activity'), ('بيت', 'noun', 'house'), ('مدرسة', 'noun', 'school'), ('حديقة', 'noun', 'garden'), ('لعبة', 'noun', 'game;toy'), ('كتاب', 'noun', 'book'), ('موسيقى', 'noun', 'music'), ('فيلم', 'noun', 'film;movie'), ('نوم', 'noun', 'sleep'), ('استيقاظ', 'noun', 'arousal;awakening'), ('زيارة', 'noun', 'visit;visiting'), ('مشي', 'verb', 'proceed;walk'), ('ضحك', 'verb', 'laugh'), ('استمتاع', 'noun', 'enjoyment'), ('قهوة', 'noun', 'coffee'), ('شاي', 'noun', 'tea')]"
Beginner,ما هو طعامك المفضل ولماذا؟,What is your favorite food and why?,1,2,A,1,1,"[('طعام', 'noun', 'food'), ('أحب', 'verb', 'like;love'), ('أكل', 'verb', 'consume;eat'), ('لذيذ', 'adj', 'delicious;delightful;pleasant'), ('فاكهة', 'noun', 'fruit'), ('خضار', 'noun', 'greenery'), ('لحم', 'noun', 'Lahm;flesh;meat'), ('دجاج', 'noun', 'chicken;fowl;hen;poultry'), ('سمك', 'noun', 'fish'), ('خبز', 'noun', 'bread;loaf_of_bread'), ('حلوى', 'noun', 'dessert;pastry;sweet'), ('مشروب', 'noun', 'beverage;drink'), ('عصير', 'noun', 'extract;juice'), ('ماء', 'noun', 'water'), ('تفاح', 'noun', 'apple'), ('موز', 'noun', 'banana'), ('برتقال', 'noun', 'orange'), ('طماطم', 'noun', 'tomato'), ('بيتزا', 'noun', 'pizza'), ('معكرونة', 'noun', 'macaroni')]",,"[('طعام', 'noun', 'food'), ('أحب', 'verb', 'like;love'), ('أكل', 'verb', 'consume;eat'), ('لذيذ', 'adj', 'delicious;delightful;pleasant'), ('فاكهة', 'noun', 'fruit'), ('خضار', 'noun', 'greenery'), ('لحم', 'noun', 'Lahm;flesh;meat'), ('دجاج', 'noun', 'chicken;fowl;hen;poultry'), ('سمك', 'noun', 'fish'), ('خبز', 'noun', 'bread;loaf_of_bread'), ('حلوى', 'noun', 'dessert;pastry;sweet'), ('مشروب', 'noun', 'beverage;drink'), ('عصير', 'noun', 'extract;juice'), ('ماء', 'noun', 'water'), ('تفاح', 'noun', 'apple'), ('موز', 'noun', 'banana'), ('برتقال', 'noun', 'orange'), ('طماطم', 'noun', 'tomato'), ('بيتزا', 'noun', 'pizza'), ('معكرونة', 'noun', 'macaroni')]"
Beginner,ما هي هوايتك المفضلة؟,What is your favorite hobby?,2,3,A,2,1,"[('كرة القدم', 'noun', 'foot'), ('قراءة', 'noun', 'reading'), ('رسم', 'noun', 'drawing;illustration;sketch'), ('موسيقى', 'noun', 'music'), ('طبخ', 'noun', 'cooking;cuisine'), ('سفر', 'noun', 'journey;travel;trip'), ('تصوير', 'noun', 'characterization;depiction;filming;illustration;photography'), ('سباحة', 'noun', 'swimmer'), ('لعب', 'verb', 'play'), ('غناء', 'noun', 'singing'), ('رقص', 'noun', 'dance;dancing'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('تلوين', 'noun', 'coloration;coloring;hue;shade_of_color'), ('تسوق', 'verb', 'market;shop'), ('مشي', 'verb', 'proceed;walk'), ('حديقة', 'noun', 'garden'), ('صديق', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('فيلم', 'noun', 'film;movie'), ('كتاب', 'noun', 'book'), ('أغنية', 'noun', 'melody;song')]",,"[('كرة القدم', 'noun', 'foot'), ('قراءة', 'noun', 'reading'), ('رسم', 'noun', 'drawing;illustration;sketch'), ('موسيقى', 'noun', 'music'), ('طبخ', 'noun', 'cooking;cuisine'), ('سفر', 'noun', 'journey;travel;trip'), ('تصوير', 'noun', 'characterization;depiction;filming;illustration;photography'), ('سباحة', 'noun', 'swimmer'), ('لعب', 'verb', 'play'), ('غناء', 'noun', 'singing'), ('رقص', 'noun', 'dance;dancing'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('تلوين', 'noun', 'coloration;coloring;hue;shade_of_color'), ('تسوق', 'verb', 'market;shop'), ('مشي', 'verb', 'proceed;walk'), ('حديقة', 'noun', 'garden'), ('صديق', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('فيلم', 'noun', 'film;movie'), ('كتاب', 'noun', 'book'), ('أغنية', 'noun', 'melody;song')]"
Beginner,تحدث عن رحلة قمت بها.,Talk about a trip you took.,1,4,A,1,1,"[('سافر', 'verb', 'travel'), ('رحلة', 'noun', 'career;journey;trip;voyage'), ('مدينة', 'noun', 'city'), ('بلد', 'noun', 'country'), ('سيارة', 'noun', 'automobile;car;vehicle'), ('طائرة', 'noun', 'aircraft;airplane'), ('قطار', 'noun', 'train'), ('فندق', 'noun', 'hotel'), ('مطعم', 'noun', 'restaurant'), ('بحر', 'noun', 'sea'), ('جبل', 'noun', 'mountain'), ('صور', 'noun', 'form;illustration;image;manner;photo;photograph;picture;way'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('جميل', 'adj', 'beautiful;fine_(arts);nice'), ('طعام', 'noun', 'food'), ('يوم', 'noun', 'day;some_day;today'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('سوق', 'noun', 'market'), ('متحف', 'noun', 'museum'), ('شاطئ', 'noun', 'beach;coast;shore'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('تذكرة', 'noun', 'card;ticket'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('سعيد', 'adj', 'happy'), ('زيارة', 'noun', 'visit;visiting')]",,"[('سافر', 'verb', 'travel'), ('رحلة', 'noun', 'career;journey;trip;voyage'), ('مدينة', 'noun', 'city'), ('بلد', 'noun', 'country'), ('سيارة', 'noun', 'automobile;car;vehicle'), ('طائرة', 'noun', 'aircraft;airplane'), ('قطار', 'noun', 'train'), ('فندق', 'noun', 'hotel'), ('مطعم', 'noun', 'restaurant'), ('بحر', 'noun', 'sea'), ('جبل', 'noun', 'mountain'), ('صور', 'noun', 'form;illustration;image;manner;photo;photograph;picture;way'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('جميل', 'adj', 'beautiful;fine_(arts);nice'), ('طعام', 'noun', 'food'), ('يوم', 'noun', 'day;some_day;today'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('سوق', 'noun', 'market'), ('متحف', 'noun', 'museum'), ('شاطئ', 'noun', 'beach;coast;shore'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('تذكرة', 'noun', 'card;ticket'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('سعيد', 'adj', 'happy'), ('زيارة', 'noun', 'visit;visiting')]"
Beginner,تحدث عن يوم في المدرسة.,Talk about a day at school.,3,5,A,3,1,"[('مدرسة', 'noun', 'school'), ('فصل', 'noun', 'chapter;cutting_off;detaching;discharge;dismissal;season;section;separating'), ('معلم', 'noun', 'teacher'), ('طالب', 'noun', 'requesting;student'), ('كتاب', 'noun', 'book'), ('قلم', 'noun', 'pen;pencil'), ('سبورة', 'noun', 'blackboard;slate'), ('درس', 'noun', 'checking;class;examining;lesson;study;studying'), ('واجب', 'noun', 'duty;obligation;requirement'), ('صديق', 'noun', 'friend'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('كرسي', 'noun', 'chair;seat'), ('طاولة', 'noun', 'table'), ('جرس', 'noun', 'bell'), ('حصة', 'noun', 'class_period;portion;quota;share'), ('لغة', 'noun', 'language'), ('علوم', 'noun', 'in_view_of_the_fact;knowing;knowledge;science;study_of;with_the_knowledge'), ('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('استراحة', 'noun', 'intermission;recess;relaxation;rest'), ('ساعة', 'noun', 'clock;hour;time;timepiece;watch'), ('نشاط', 'noun', 'active;activity'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('قراءة', 'noun', 'reading'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('رسم', 'noun', 'drawing;illustration;sketch')]",,"[('مدرسة', 'noun', 'school'), ('فصل', 'noun', 'chapter;cutting_off;detaching;discharge;dismissal;season;section;separating'), ('معلم', 'noun', 'teacher'), ('طالب', 'noun', 'requesting;student'), ('كتاب', 'noun', 'book'), ('قلم', 'noun', 'pen;pencil'), ('سبورة', 'noun', 'blackboard;slate'), ('درس', 'noun', 'checking;class;examining;lesson;study;studying'), ('واجب', 'noun', 'duty;obligation;requirement'), ('صديق', 'noun', 'friend'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('كرسي', 'noun', 'chair;seat'), ('طاولة', 'noun', 'table'), ('جرس', 'noun', 'bell'), ('حصة', 'noun', 'class_period;portion;quota;share'), ('لغة', 'noun', 'language'), ('علوم', 'noun', 'in_view_of_the_fact;knowing;knowledge;science;study_of;with_the_knowledge'), ('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('استراحة', 'noun', 'intermission;recess;relaxation;rest'), ('ساعة', 'noun', 'clock;hour;time;timepiece;watch'), ('نشاط', 'noun', 'active;activity'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('قراءة', 'noun', 'reading'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('رسم', 'noun', 'drawing;illustration;sketch')]"
Beginner,تحدث عن نشاط تحبه في عطلة نهاية الأسبوع.,Talk about a weekend activity you love.,2,6,A,2,1,"[('نهاية', 'noun', 'end;finally;termination;ultimately'), ('أسبوع', 'noun', 'week'), ('نشاط', 'noun', 'active;activity'), ('أحب', 'verb', 'like;love'), ('أذهب', 'verb', 'depart;go;take_(with)'), ('أرى', 'verb', 'believe;see;think'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('بيت', 'noun', 'house'), ('فيلم', 'noun', 'film;movie'), ('حديقة', 'noun', 'garden'), ('لعبة', 'noun', 'game;toy'), ('طعام', 'noun', 'food'), ('مطعم', 'noun', 'restaurant'), ('كتاب', 'noun', 'book'), ('موسيقى', 'noun', 'music'), ('لعب', 'verb', 'play'), ('كرة', 'noun', 'ball;football;globe;soccer;sphere'), ('سباحة', 'noun', 'swimmer'), ('ركض', 'verb', 'race;run'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('يوم', 'noun', 'day;some_day;today'), ('جديد', 'adj', 'modern;new'), ('تسوق', 'verb', 'market;shop')]",,"[('نهاية', 'noun', 'end;finally;termination;ultimately'), ('أسبوع', 'noun', 'week'), ('نشاط', 'noun', 'active;activity'), ('أحب', 'verb', 'like;love'), ('أذهب', 'verb', 'depart;go;take_(with)'), ('أرى', 'verb', 'believe;see;think'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('بيت', 'noun', 'house'), ('فيلم', 'noun', 'film;movie'), ('حديقة', 'noun', 'garden'), ('لعبة', 'noun', 'game;toy'), ('طعام', 'noun', 'food'), ('مطعم', 'noun', 'restaurant'), ('كتاب', 'noun', 'book'), ('موسيقى', 'noun', 'music'), ('لعب', 'verb', 'play'), ('كرة', 'noun', 'ball;football;globe;soccer;sphere'), ('سباحة', 'noun', 'swimmer'), ('ركض', 'verb', 'race;run'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('يوم', 'noun', 'day;some_day;today'), ('جديد', 'adj', 'modern;new'), ('تسوق', 'verb', 'market;shop')]"
Beginner,ما هو حدث تاريخي مهم في بلدك؟ لماذا هو مهم؟,What is an important historical event in your country? Why is it important?,4,7,A,4,1,"[('تاريخ', 'noun', 'date;history'), ('مهم', 'adj', 'important;serious'), ('بلد', 'noun', 'country'), ('لماذا', 'adv_rel', 'why'), ('هو', 'pron', 'it/he'), ('يوم', 'noun', 'day;some_day;today'), ('حرب', 'noun', 'war;warfare'), ('شعب', 'noun', 'nation;people'), ('ملك', 'noun', 'king'), ('رئيس', 'noun', 'chairman;head;president'), ('مدينة', 'noun', 'city'), ('عالم', 'noun', 'world'), ('قديم', 'adj', 'ancient;old'), ('جديد', 'adj', 'modern;new'), ('تاريخي', 'noun', 'date;history'), ('تقليد', 'noun', 'custom;imitation;tradition'), ('احتفال', 'noun', 'celebration;ceremony')]",,"[('تاريخ', 'noun', 'date;history'), ('مهم', 'adj', 'important;serious'), ('بلد', 'noun', 'country'), ('لماذا', 'adv_rel', 'why'), ('هو', 'pron', 'it/he'), ('يوم', 'noun', 'day;some_day;today'), ('حرب', 'noun', 'war;warfare'), ('شعب', 'noun', 'nation;people'), ('ملك', 'noun', 'king'), ('رئيس', 'noun', 'chairman;head;president'), ('مدينة', 'noun', 'city'), ('عالم', 'noun', 'world'), ('قديم', 'adj', 'ancient;old'), ('جديد', 'adj', 'modern;new'), ('تاريخي', 'noun', 'date;history'), ('تقليد', 'noun', 'custom;imitation;tradition'), ('احتفال', 'noun', 'celebration;ceremony')]"
Beginner,تحدث عن تقليد ثقافي في بلدك. ماذا تعرف عنه؟,Talk about a cultural tradition in your country. What do you know about it?,4,8,A,4,1,"[('بلد', 'noun', 'country'), ('تقليد', 'noun', 'custom;imitation;tradition'), ('عائلة', 'noun', 'family;household'), ('احتفال', 'noun', 'celebration;ceremony'), ('طعام', 'noun', 'food'), ('موسيقى', 'noun', 'music'), ('رقص', 'noun', 'dance;dancing'), ('عيد', 'noun', 'feast;festival;holiday'), ('يوم', 'noun', 'day;some_day;today'), ('شعب', 'noun', 'nation;people'), ('أغنية', 'noun', 'melody;song'), ('قصة', 'noun', 'story'), ('تاريخ', 'noun', 'date;history'), ('فرح', 'noun', 'festivity;happiness;joy'), ('يزور', 'verb', 'visit'), ('يقدم', 'verb', 'introduce;offer;present'), ('يشاهد', 'verb', 'observe;watch;witness'), ('يحب', 'verb', 'like;love'), ('صغير', 'adj', 'small;young'), ('كبير', 'adj', 'great;important;large;major;senior'), ('سعيد', 'adj', 'happy')]",,"[('بلد', 'noun', 'country'), ('تقليد', 'noun', 'custom;imitation;tradition'), ('عائلة', 'noun', 'family;household'), ('احتفال', 'noun', 'celebration;ceremony'), ('طعام', 'noun', 'food'), ('موسيقى', 'noun', 'music'), ('رقص', 'noun', 'dance;dancing'), ('عيد', 'noun', 'feast;festival;holiday'), ('يوم', 'noun', 'day;some_day;today'), ('شعب', 'noun', 'nation;people'), ('أغنية', 'noun', 'melody;song'), ('قصة', 'noun', 'story'), ('تاريخ', 'noun', 'date;history'), ('فرح', 'noun', 'festivity;happiness;joy'), ('يزور', 'verb', 'visit'), ('يقدم', 'verb', 'introduce;offer;present'), ('يشاهد', 'verb', 'observe;watch;witness'), ('يحب', 'verb', 'like;love'), ('صغير', 'adj', 'small;young'), ('كبير', 'adj', 'great;important;large;major;senior'), ('سعيد', 'adj', 'happy')]"
Beginner,ما هي أهمية الانتخابات في بلدك؟ هل تعرف من ينتخب؟,What is the importance of elections in your country? Do you know who votes?,5,9,A,5,1,"[('بلد', 'noun', 'country'), ('رئيس', 'noun', 'chairman;head;president'), ('شعب', 'noun', 'nation;people'), ('اختيار', 'noun', 'choice;elder;preference;selection;senior'), ('حرية', 'noun', 'freedom'), ('عملية', 'noun', 'mission;operation;process'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('محلي', 'noun', 'location;place')]",,"[('بلد', 'noun', 'country'), ('رئيس', 'noun', 'chairman;head;president'), ('شعب', 'noun', 'nation;people'), ('اختيار', 'noun', 'choice;elder;preference;selection;senior'), ('حرية', 'noun', 'freedom'), ('عملية', 'noun', 'mission;operation;process'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('محلي', 'noun', 'location;place')]"
Beginner,كيف يؤثر الحكومة على حياتك اليومية؟ هل لديك مثال؟,How does the government affect your daily life? Do you have an example?,5,10,A,5,1,"[('حياة', 'noun', 'life'), ('يوم', 'noun', 'day;some_day;today'), ('يومي', 'noun', 'day;some_day;today'), ('مثال', 'noun', 'example;model;proverb'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('صحة', 'noun', 'authenticity;correctness;health;truth'), ('عمل', 'noun', 'action;activity;work'), ('مال', 'noun', 'asset;capital;fund;money'), ('طريق', 'noun', 'road;way'), ('أمن', 'noun', 'safety;security'), ('مدرسة', 'noun', 'school'), ('مستشفى', 'noun', 'hospital'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('مدينة', 'noun', 'city'), ('بيت', 'noun', 'house'), ('سيارة', 'noun', 'automobile;car;vehicle'), ('جديد', 'adj', 'modern;new'), ('كهرباء', 'noun', 'electricity')]",,"[('حياة', 'noun', 'life'), ('يوم', 'noun', 'day;some_day;today'), ('يومي', 'noun', 'day;some_day;today'), ('مثال', 'noun', 'example;model;proverb'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('صحة', 'noun', 'authenticity;correctness;health;truth'), ('عمل', 'noun', 'action;activity;work'), ('مال', 'noun', 'asset;capital;fund;money'), ('طريق', 'noun', 'road;way'), ('أمن', 'noun', 'safety;security'), ('مدرسة', 'noun', 'school'), ('مستشفى', 'noun', 'hospital'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('مدينة', 'noun', 'city'), ('بيت', 'noun', 'house'), ('سيارة', 'noun', 'automobile;car;vehicle'), ('جديد', 'adj', 'modern;new'), ('كهرباء', 'noun', 'electricity')]"
