Document_ID	Grade	essay
1_A_5levels_p5	A	يومي المفضل يبدأ في صباح مشرق، حيث تستيقظ شمس يوم جديد في السماء الزرقاء. أستيقظ مبكرًا، وأستمتع بفنجان قهوة لذيذ يمدني بالنشاط والحيوية. أحب قضاء وقتي مع عائلتي في بيتنا الهادئ. نتحدث ونضحك معًا، مما يضفي على الصباح أجواء مرحة.  بعد الفطور، أذهب للمشي في الحديقة القريبة. الهواء النقي ينعشني، وأشاهد الأطفال يلعبون بمرح. أحب رؤية الزهور المتفتحة وسماع تغريد الطيور. في بعض الأيام، أقرأ كتابًا شيقًا تحت ظلال الأشجار، مستمتعًا بالهدوء والجمال الطبيعي.  في فترة الظهيرة، ألتقي بصديق مقرب، ونتناول طعام الغداء في مطعم مفضل. نختار أطباقًا شهية، ونتبادل الأحاديث عن مغامراتنا وأحلامنا. هذا الوقت يمنحني السعادة والراحة.  في المساء، أعود إلى البيت، وأستمتع بمشاهدة فيلم ممتع مع العائلة. نختار فيلمًا جديدًا أو نستمتع بموسيقى هادئة. بعد انتهاء الفيلم، أتذوق كوبًا من شاي دافئ، مما يساعدني على الاسترخاء.  قبل النوم، أخصص بعض الوقت للتفكير في يومي وأحمد الله على النعم. أستعد للنوم، وأغرق في أحلام هادئة، متطلعًا إلى يوم جديد مليء بالاستمتاع والفرح.
2_A_5levels_p5	A	أحب الطعام لأنه يمثل جزءًا مهمًا من حياتي اليومية. من بين الأطعمة المفضلة لدي، تأتي البيتزا في المرتبة الأولى. إنها لذيذة ومتنوعة، حيث يمكنني إضافة الكثير من المكونات مثل الدجاج واللحم والسمك والخضار. أحب أكل البيتزا لأنها تجمع بين نكهات متعددة في قطعة واحدة. بالإضافة إلى ذلك، فإنها توفر توازنًا جيدًا بين المكونات، مما يجعلها خيارًا صحيًا في بعض الأحيان.  أحب أيضًا تناول المعكرونة، فهي سهلة التحضير ومشبعة. يمكنني إضافة الطماطم والجبن لتكون لذيذة ومغذية. المعكرونة تقدم لي طاقة كبيرة لأكمل يومي بنشاط. كما أنني أستمتع بتناول الفاكهة مثل التفاح والموز والبرتقال. الفاكهة ليست فقط لذيذة، بل هي مفيدة لصحة القلب والجسم.   عندما أتناول الطعام، أحب أن أضيف بعض الحلوى بعد الوجبة. الحلوى تجعلني أشعر بالسعادة والرضا. أحب أيضًا شرب العصير الطازج، خاصة عصير البرتقال، لأنه منعش ومفيد. وأحيانًا أتناول مشروبًا ساخنًا مثل الشاي أو القهوة لأسترخي بعد يوم طويل.   في النهاية، الطعام ليس مجرد وسيلة للبقاء، بل هو تجربة ممتعة تجمع بين النكهات والروائح. الماء أيضًا جزء أساسي من نظامي الغذائي، فهو يساعد في الحفاظ على ترطيب جسمي. الطعام المفضل لدي يعكس شخصيتي وأسلوب حياتي، وهو يضفي على أيامي نكهة مميزة.
3_A_5levels_p5	A	هوايتي المفضلة هي لعب كرة القدم. أحب كرة القدم لأنها تجمع بين الرياضة والمرح. عندما ألعب، أشعر بالسعادة والنشاط. إنها تساعدني على تحسين لياقتي البدنية وتمنحني فرصة للقاء أصدقاء جدد. دائمًا ما نلعب في حديقة جميلة قريبة من المنزل، حيث الهواء النقي والطبيعة الهادئة.  في أوقات الفراغ، أحب القراءة أيضًا. الكتب تأخذني في رحلات خيالية مذهلة. أستمتع بقراءة روايات المغامرات والخيال العلمي. إنها تساعدني على تطوير خيالي وزيادة معرفتي. كما أنني أجد في الرسم وسيلة رائعة للتعبير عن مشاعري وأفكاري. عندما أرسم، أستخدم ألوانًا زاهية تعكس طبيعتي المتفائلة.  إلى جانب ذلك، أحب الاستماع إلى الموسيقى والغناء. الموسيقى تمنحني شعورًا بالراحة والهدوء، بينما الغناء يجعلني أشعر بالتحرر. أحيانًا، أجرب طبخ وصفات جديدة في المطبخ. الطبخ يعطيني فرصة لإبداع أطباق لذيذة لأفراد عائلتي. في العطلات، أستمتع بالسفر واكتشاف أماكن جديدة. السفر يفتح لي آفاقًا واسعة ويمدني بتجارب لا تُنسى.  أحب أيضًا السباحة فهي نشاط ممتع ومنعش. السباحة تجعلني أشعر بالحرية في الماء. كما أهوى التصوير الفوتوغرافي، حيث ألتقط صورًا تخلد اللحظات الجميلة. في المساء، أحيانًا أشاهد فيلمًا مشوقًا مع العائلة، أو أستمع إلى أغنية مفضلة لدي.  في الختام، الهوايات تضيف لحياتي الكثير من الجمال والتنوع. سواء كانت كرة القدم أو الرسم أو الموسيقى، كل نشاط يضفي على حياتي لونًا خاصًا. إنها ليست مجرد ترفيه، بل هي جزء من شخصيتي وتساعدني على النمو والتطور.
4_A_5levels_p5	A	في أحد الأيام الجميلة، قررت أن أسافر في رحلة مع عائلتي إلى بلد جديد. كانت هذه الرحلة إلى مدينة ساحرة تقع بين جبال خلابة وبحر أزرق صافٍ. بدأنا التحضير للسفر بشراء تذاكر الطائرة وحزم حقائبنا بكل حماس. في صباح اليوم المحدد، توجهنا إلى المطار، حيث كانت الطائرة تنتظرنا.  عند وصولنا إلى المدينة، قمنا بحجز فندق قريب من الشاطئ. كان الفندق جميلًا وهادئًا، مما أتاح لنا فرصة الاسترخاء بعد رحلة الطيران الطويلة. في المساء، قررنا زيارة مطعم محلي لتذوق طعام المدينة التقليدي، الذي كان لذيذًا وشهيًا.  في اليوم التالي، استيقظنا مبكرًا واستقللنا القطار لزيارة متحف المدينة الشهير. كان المتحف مليئًا بالقطع الفنية القديمة التي أبهرتنا بجمالها وتاريخها العريق. بعد الزيارة، تجولنا في سوق المدينة لشراء بعض الهدايا التذكارية.  قضينا بقية اليوم على شاطئ البحر، حيث استمتعنا بأشعة الشمس الدافئة ورمال الشاطئ الناعمة. كانت اللحظات على الشاطئ مع الأصدقاء والعائلة ممتعة وسعيدة. التقطنا العديد من الصور لتوثيق هذه الذكريات الجميلة.  قبل العودة إلى الفندق في المساء، قررنا قيادة سيارتنا إلى منطقة جبلية قريبة. المناظر الطبيعية كانت مذهلة، والمنطقة هادئة، مما أتاح لنا فرصة للاستمتاع بالهواء النقي والمناظر الخلابة.  كانت هذه الرحلة تجربة لا تُنسى، مليئة باللحظات السعيدة والذكريات الجميلة. بعد قضاء الوقت الممتع، عدنا إلى الوطن ومعنا صور عديدة وذكريات لا تُنسى. كانت رحلة رائعة في كل تفاصيلها، ونتطلع إلى زيارة أماكن جديدة في المستقبل.
5_A_5levels_p5	A	في صباح يوم جديد، يبدأ الطلاب يومهم في المدرسة بكل حماس ونشاط. يحمل كل طالب حقيبته المليئة بالكتب والأقلام، متوجهًا إلى فصله الدراسي. الجرس يرن ليعلن بداية اليوم. يدخل الطلاب إلى الفصل، ويجلسون على الكراسي بجانب الطاولات، منتظرين وصول المعلم.  المعلم يأتي بابتسامة مشرقة، يحمل كتابًا في يده. يبدأ الدرس الأول والذي يكون عادة في مادة العلوم، حيث يتعلم الطلاب أشياء جديدة ومثيرة. السبورة تكون مليئة بالخطوط والرسومات التي توضح المفاهيم العلمية. بعد انتهاء الحصة، ينتقل الطلاب إلى درس اللغة، حيث يستمتعون بتعلم مفردات جديدة وتطوير مهارات القراءة والكتابة.  بعد عدة حصص، يحين وقت الاستراحة. يخرج الطلاب إلى الساحة للعب والتحدث مع الأصدقاء. بعضهم يلعبون كرة القدم، بينما يتبادل آخرون الأحاديث ويستمتعون بالجو اللطيف. بعد الاستراحة، يعود الطلاب إلى فصولهم، ويستعدون لمتابعة الدروس. في حصة الرياضة، يمارس الطلاب التمارين البدنية التي تساعدهم في الحفاظ على صحتهم ولياقتهم.  الوقت يمضي سريعًا، ويعلن الجرس انتهاء اليوم الدراسي. الطلاب يجمعون أغراضهم، ويتأكدون من أنهم لم ينسوا أي واجب مدرسي. يغادر الجميع المدرسة وهم يتطلعون ليوم جديد مليء بالتحديات والفرص للتعلم والنجاح.
6_A_5levels_p5	A	في نهاية كل أسبوع، يملأني الحماس لأنشطة مختلفة تضيف للحياة نكهة مميزة. أحب أن أبدأ صباح يوم العطلة بالذهاب إلى حديقة جميلة حيث أرى الطبيعة الخلابة، وأستمتع بالهواء النقي. غالبًا ما أذهب إلى هناك مع عائلتي أو أصدقائي، حيث نستمتع بلعب كرة القدم أو سباحة في البركة الصغيرة. هذا النشاط يعيد لي الطاقة التي أحتاجها لبقية الأسبوع.  بعد الظهر، أعود إلى البيت لتناول طعام الغداء مع العائلة. نحب تحضير وجبات لذيذة ومشاركة اللحظات السعيدة على المائدة. يكون الطعام شهيًا ومتنوعًا، مما يضيف لمسة من السعادة إلى يومنا. في بعض الأحيان، نقرر الذهاب إلى مطعم جديد لاكتشاف نكهات مختلفة وتجربة أطباق فريدة.  في المساء، أستمتع بمشاهدة فيلم جديد مع أصدقائي أو قراءة كتاب مشوق. هذه اللحظات الهادئة تساعدني على الاسترخاء والتفكير في أمور حياتي. وأحيانًا أستمع إلى موسيقى هادئة تعزز من مزاجي وتمنحني إحساسًا بالراحة.  أحب أيضًا التسوق في بعض الأحيان، حيث أذهب إلى الأسواق لاكتشاف ملابس جديدة أو ألعاب لأطفالي. هذه الأنشطة تضيف لمسة من البهجة إلى يومي.  في ختام اليوم، أشعر بالرضا لأنني قضيت وقتًا ممتعًا ومفيدًا. هذه الأنشطة تجعلني أستعد لأسبوع جديد بكل حماسة ونشاط. يوم العطلة هو فرصة لتجديد الطاقة والارتباط بالعائلة والأصدقاء وتجربة أشياء جديدة تضيف للحياة معنى وجمال.
7_A_5levels_p5	A	في تاريخ بلدي، حدثت معركة مهمة تُعتبر من أبرز الأحداث التاريخية التي شكلت ملامح الأمة. هذه الحرب وقعت في زمن قديم، وقد أثرت بشكل كبير على مسار التاريخ. لماذا تُعتبر هذه المعركة مهمة؟ لأنها كانت نقطة تحول حاسمة في مسار البلاد. في يوم من الأيام، قاد الملك الشجاع جيشه إلى النصر ضد الأعداء، مما أكسبه احترام الشعب ودعم العالم.  المدينة التي شهدت هذه الحرب أصبحت رمزًا للصمود والقوة، وتركت تأثيرًا مستدامًا في ثقافة بلدنا. بعد انتهاء المعركة، بدأ الشعب في استعادة حياتهم وبناء مستقبل جديد يعتمد على الوحدة والتضامن. هذا الانتصار العسكري لم يكن مجرد حدث عابر، بل كان بداية لعصر جديد من الازدهار والنمو.  منذ ذلك الحين، يحتفل الناس سنويًا بهذا اليوم التاريخي، حيث يُعد احتفالًا مهمًا في تقاليد بلدنا. يُذكّرنا هذا الاحتفال بأهمية الشجاعة والتضحية، ويعكس القيم التي شكلت هويتنا الوطنية. لذا، يتجدد روح الفخر والانتماء في قلوب الناس كل عام، حيث يُعتبر هذا الحدث جزءًا لا يتجزأ من تاريخنا وتراثنا.
8_A_5levels_p5	A	في بلدي، يعتبر عيد الفطر تقليدًا ثقافيًا مهمًا يجمع العائلات والأصدقاء في جو من الفرح والسرور. في هذا اليوم، يحتفل الشعب بنهاية شهر رمضان المبارك، حيث يزور الناس بعضهم البعض ويقدمون التهاني بالعيد. ويعتبر هذا العيد فرصة كبيرة لتقوية الروابط الاجتماعية والعائلية.  يبدأ الاحتفال بصلاة العيد في الصباح، حيث يجتمع الناس في المساجد والساحات العامة. بعد الصلاة، يعود الجميع إلى منازلهم ليبدأوا يومًا مليئًا بالسعادة. تقدم العائلات طعامًا متنوعًا ولذيذًا يشمل الحلويات والمأكولات التقليدية التي يحبها الصغار والكبار على حد سواء. يعتبر تبادل الأطعمة بين الجيران عادة جميلة تعزز من روح التعاون.  تتلون الشوارع بألوان زاهية وتغمرها الموسيقى والرقصات الشعبية. الأطفال يرتدون ملابس جديدة ويستمتعون بالألعاب المختلفة. تروي الأغاني والرقصات قصصًا من تاريخ الشعب، مما يقدم فرصة للأجيال الجديدة للتعرف على تراثهم الثقافي العريق.  الفرح يعم المكان، ويشاهد الجميع مشاعر السعادة في عيون الناس. تقدم العائلات الهدايا للأطفال، مما يجعلهم يشعرون بالحب والاهتمام. هذا التقليد ليس مجرد احتفال، بل هو تجسيد لمعاني الكرم والمودة.  في الختام، يعكس عيد الفطر في بلدنا روح الوحدة والمحبة. إنه تقليد يجمع بين الماضي والحاضر، ويعزز من قيم العائلة والمجتمع. يظل هذا العيد رمزًا سعيدًا للسلام والتآخي، حيث يشارك الجميع في نشر البهجة والسرور بين الناس.
9_A_5levels_p5	A	الانتخابات في بلدنا تمثل أهمية كبيرة في تشكيل المستقبل. فهي العملية التي تمكن الشعب من اختيار قادته وتحديد مسار النظام السياسي. عندما ينتخب المواطنون، يمارسون حقهم في الحرية والاختيار، مما يعكس قوة الديمقراطية في المجتمع.   في كل فترة انتخابية، يتوجه الناس إلى أماكن الاقتراع المحلية للإدلاء بأصواتهم. هذا الاختيار لا يقتصر فقط على انتخاب رئيس البلاد، بل يشمل أيضًا اختيار أعضاء البرلمان والمجالس المحلية. الشعب يستخدم صوته ليعبر عن آرائه وتفضيلاته، مما يؤثر بشكل مباشر على السياسات والقرارات الحكومية.  النظام الانتخابي يوفر فرصة للمشاركة الفعالة في الحياة العامة، وهي عملية ضرورية لضمان أن الحكومة تعكس تطلعات مواطنيها. الانتخابات تساهم في تعزيز المسؤولية والمساءلة بين القادة، حيث يدركون أن بقاءهم في مناصبهم مرتبط بقدرتهم على تلبية احتياجات الشعب.  في الختام، تعتبر الانتخابات وسيلة أساسية لتحقيق التغيير الإيجابي ودفع عجلة التقدم. إنها تضمن أن يظل صوت المواطن مسموعًا في كل مكان، مما يعزز من استقرار النظام السياسي ويقوي الروابط بين القادة والشعب.
10_A_5levels_p5	A	الحكومة تؤثر على حياتنا اليومية بطرق متعددة، سواء كنا نلاحظ ذلك أم لا. على سبيل المثال، عندما نستيقظ في الصباح ونفتح الإضاءة، فإن الكهرباء التي نستخدمها تكون مدعومة من قبل الدولة. كذلك، التعليم يلعب دورًا حاسمًا في تشكيل مستقبلنا، حيث توفر الحكومة المدارس التي نرتادها. في كل يوم، نسير على الطرق التي تُصان بانتظام لضمان سلامتنا. وعندما نذهب إلى العمل، نجد أن القوانين تضمن حقوقنا كموظفين.  الصحة أيضًا مجال مهم، حيث توفر الحكومة المستشفيات التي تقدم الرعاية الطبية الضرورية. في حياتنا اليومية، نشعر بالأمان بفضل الأنظمة الأمنية التي تحمي المدن والبيوت. الحكومة تساهم في تنظيم حركة المرور، مما يجعل قيادة السيارة أكثر أمانًا وانسيابية. بالإضافة إلى ذلك، فإن المساعدات المالية تقدم للعائلات المحتاجة لضمان حياة كريمة.  إذا أخذنا مثالاً عن التأثير الحكومي، نجد أن النظام التعليمي يشكل جيلًا جديدًا من المتعلمين الذين يصبحون أعضاء فاعلين في المجتمع. الحكومة تدعم التعليم من خلال توفير بيئة تعليمية مناسبة. ومن خلال تحسين البنية التحتية، تسهم في خلق فرص عمل جديدة. إن الأمان الذي نشعر به في المدينة يعزز من جودة حياتنا، ويتيح لنا التنقل بحرية وثقة.  في الختام، الحكومة، من خلال سياساتها المتنوعة، تلعب دورًا جوهريًا في تحسين حياتنا اليومية. تأثيرها يمتد ليشمل كل جانب من جوانب الحياة، بدءًا من التعليم والصحة، وصولاً إلى الأمان والاقتصاد. لذا، نحن محظوظون بوجود نظام حكومي يسعى لتحقيق رفاهية المجتمع.
