Level,Arabic Text,Translated Text,Topic_ID,prompt_id,CEFR_level,topic_id,level,words
Beginner,اوصف يومك المفضل,Describe your favorite day,1,1,A,1,1,"[('يوم', 'noun', 'day;some_day;today'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('جميل', 'adj', 'beautiful;fine_(arts);nice'), ('عائلة', 'noun', 'family;household'), ('أصدقاء', 'noun', 'friend'), ('نشاط', 'noun', 'active;activity'), ('طعام', 'noun', 'food'), ('شراب', 'noun', 'beverage;drink'), ('مطعم', 'noun', 'restaurant'), ('حديقة', 'noun', 'garden'), ('بيت', 'noun', 'house'), ('مدرسة', 'noun', 'school'), ('عمل', 'noun', 'action;activity;work'), ('لعبة', 'noun', 'game;toy'), ('فيلم', 'noun', 'film;movie'), ('موسيقى', 'noun', 'music'), ('كتاب', 'noun', 'book'), ('قراءة', 'noun', 'reading'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('رسم', 'noun', 'drawing;illustration;sketch'), ('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('كرة', 'noun', 'ball;football;globe;soccer;sphere'), ('قدم', 'noun', 'foot'), ('سباحة', 'noun', 'swimmer'), ('شاطئ', 'noun', 'beach;coast;shore'), ('بحر', 'noun', 'sea'), ('سماء', 'noun', 'Heaven;sky'), ('شمس', 'noun', 'sun'), ('قهوة', 'noun', 'coffee'), ('شاي', 'noun', 'tea'), ('خبز', 'noun', 'bread;loaf_of_bread'), ('فاكهة', 'noun', 'fruit'), ('خضار', 'noun', 'greenery'), ('لذيذ', 'adj', 'delicious;delightful;pleasant'), ('سعيد', 'adj', 'happy')]"
Beginner,ما هو طعامك المفضل ولماذا؟,What is your favorite food and why?,1,2,A,1,1,"[('طعام', 'noun', 'food'), ('لماذا', 'adv_rel', 'why'), ('أحب', 'verb', 'like;love'), ('أكل', 'verb', 'consume;eat'), ('لذيذ', 'adj', 'delicious;delightful;pleasant'), ('فاكهة', 'noun', 'fruit'), ('خضار', 'noun', 'greenery'), ('لحم', 'noun', 'Lahm;flesh;meat'), ('سمك', 'noun', 'fish'), ('دجاج', 'noun', 'chicken;fowl;hen;poultry'), ('خبز', 'noun', 'bread;loaf_of_bread'), ('حلوى', 'noun', 'dessert;pastry;sweet'), ('وجبة', 'noun', 'meal;menu'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('مطعم', 'noun', 'restaurant'), ('بيت', 'noun', 'house'), ('طبخ', 'noun', 'cooking;cuisine'), ('سهل', 'adj', 'easy;simple'), ('صعب', 'adj', 'arduous;difficult;hard'), ('سريع', 'adj', 'express;prompt;quick'), ('بطيء', 'adj', 'slow;tardy'), ('صحي', 'adj', 'health;healthy;sanitary'), ('شهي', 'verb', 'arouse;excite'), ('مشروب', 'noun', 'beverage;drink'), ('ماء', 'noun', 'water'), ('عصير', 'noun', 'extract;juice'), ('شاي', 'noun', 'tea'), ('قهوة', 'noun', 'coffee'), ('طعم', 'noun', 'food;taste'), ('لون', 'noun', 'color;sort;tint;type'), ('نوع.', 'noun', 'form;kind;type')]"
Beginner,ما هي هوايتك المفضلة؟,What is your favorite hobby?,2,3,A,2,1,"[('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('قراءة', 'noun', 'reading'), ('رسم', 'noun', 'drawing;illustration;sketch'), ('موسيقى', 'noun', 'music'), ('طبخ', 'noun', 'cooking;cuisine'), ('سفر', 'noun', 'journey;travel;trip'), ('تصوير', 'noun', 'characterization;depiction;filming;illustration;photography'), ('لعب', 'verb', 'play'), ('كرة', 'noun', 'ball;football;globe;soccer;sphere'), ('قدم', 'noun', 'foot'), ('سلة', 'noun', 'basket'), ('سباحة', 'noun', 'swimmer'), ('دراجة', 'noun', 'bicycle'), ('غناء', 'noun', 'singing'), ('كتابة', 'noun', 'essay;piece_of_writing;writing'), ('صيد', 'noun', 'fishing;hunting;trapping'), ('حديقة', 'noun', 'garden'), ('فيلم', 'noun', 'film;movie'), ('تلفاز', 'noun_prop', 'TV_set'), ('حاسوب', 'noun', 'computer'), ('لعبة', 'noun', 'game;toy'), ('تزلج', 'noun', 'skiing'), ('تسلق', 'verb', 'climb;scale'), ('جبل', 'noun', 'mountain'), ('صديق', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('نشاط', 'noun', 'active;activity'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('فراغ', 'noun', 'empty_space;leisure;spare_time;vacuum')]"
Beginner,تحدث عن رحلة قمت بها.,Talk about a trip you took.,1,4,A,1,1,"[('رحلة', 'noun', 'career;journey;trip;voyage'), ('مدينة', 'noun', 'city'), ('بلد', 'noun', 'country'), ('طائرة', 'noun', 'aircraft;airplane'), ('سيارة', 'noun', 'automobile;car;vehicle'), ('قطار', 'noun', 'train'), ('حافلة', 'noun', 'bus'), ('مطار', 'noun', 'airfield;airport'), ('فندق', 'noun', 'hotel'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('تذكرة', 'noun', 'card;ticket'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('يوم', 'noun', 'day;some_day;today'), ('أسبوع', 'noun', 'week'), ('شهر', 'noun', 'month'), ('صباح', 'noun', 'in_the_morning;morning'), ('مساء', 'noun', 'evening;in_the_evening'), ('طعام', 'noun', 'food'), ('شراب', 'noun', 'beverage;drink'), ('مطعم', 'noun', 'restaurant'), ('شاطئ', 'noun', 'beach;coast;shore'), ('بحر', 'noun', 'sea'), ('جبل', 'noun', 'mountain'), ('حديقة', 'noun', 'garden'), ('سوق', 'noun', 'market'), ('تاريخ', 'noun', 'date;history'), ('متحف', 'noun', 'museum'), ('صورة', 'noun', 'form;illustration;image;manner;photo;photograph;picture;way'), ('زيارة', 'noun', 'visit;visiting'), ('جميل', 'adj', 'beautiful;fine_(arts);nice'), ('جديد', 'adj', 'modern;new'), ('قديم', 'adj', 'ancient;old'), ('قريب', 'adj', 'close;near;recent;soon'), ('بعيد', 'noun', 'distant;far;remote'), ('رحلة سعيدة', 'adj', 'happy')]"
Beginner,تحدث عن يوم في المدرسة.,Talk about a day at school.,3,5,A,3,1,"[('مدرسة', 'noun', 'school'), ('طالب', 'noun', 'requesting;student'), ('معلم', 'noun', 'teacher'), ('صف', 'noun', 'class;line;non-commissioned_officer;rank;row'), ('درس', 'noun', 'checking;class;examining;lesson;study;studying'), ('كتاب', 'noun', 'book'), ('دفتر', 'noun', 'ledger;notebook;register'), ('قلم', 'noun', 'pen;pencil'), ('سبورة', 'noun', 'blackboard;slate'), ('كرسي', 'noun', 'chair;seat'), ('طاولة', 'noun', 'table'), ('حقيبة', 'noun', 'briefcase;luggage;portfolio;suitcase'), ('حصة', 'noun', 'class_period;portion;quota;share'), ('علوم', 'noun', 'in_view_of_the_fact;knowing;knowledge;science;study_of;with_the_knowledge'), ('لغة', 'noun', 'language'), ('تاريخ', 'noun', 'date;history'), ('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('بداية', 'noun', 'beginning;start'), ('نهاية', 'noun', 'end;finally;termination;ultimately'), ('صديق', 'noun', 'friend'), ('ملعب', 'noun', 'playground;sports_field;stadium'), ('مكتبة', 'noun', 'bookstore;library'), ('استراحة', 'noun', 'intermission;recess;relaxation;rest'), ('واجب', 'noun', 'duty;obligation;requirement'), ('سؤال', 'noun', 'inquiry;question'), ('جواب', 'noun', 'answer;letter'), ('فصل', 'noun', 'chapter;cutting_off;detaching;discharge;dismissal;season;section;separating'), ('جرس', 'noun', 'bell'), ('وقت', 'noun', 'at_that_time;moment;period_of_time;time'), ('نشاط', 'noun', 'active;activity'), ('فصل دراسي', 'adj', 'educational;instructional;scholastic'), ('لعبة', 'noun', 'game;toy')]"
Beginner,تحدث عن نشاط تحبه في عطلة نهاية الأسبوع.,Talk about a weekend activity you love.,2,6,A,2,1,"[('نشاط', 'noun', 'active;activity'), ('أحب', 'verb', 'like;love'), ('عطلة', 'noun', 'holiday;recess;vacation'), ('نهاية', 'noun', 'end;finally;termination;ultimately'), ('الأسبوع', 'noun', 'week'), ('أذهب', 'verb', 'depart;go;take_(with)'), ('أصدقاء', 'noun', 'friend'), ('عائلة', 'noun', 'family;household'), ('فيلم', 'noun', 'film;movie'), ('قراءة', 'noun', 'reading'), ('كتاب', 'noun', 'book'), ('رياضة', 'noun', 'mathematics;physical_exercise;sport'), ('لعب', 'verb', 'play'), ('كرة', 'noun', 'ball;football;globe;soccer;sphere'), ('قدم', 'noun', 'foot'), ('حديقة', 'noun', 'garden'), ('مشي', 'verb', 'proceed;walk'), ('موسيقى', 'noun', 'music'), ('طعام', 'noun', 'food'), ('مطعم', 'noun', 'restaurant'), ('طبخ', 'noun', 'cooking;cuisine'), ('تسوق', 'verb', 'market;shop'), ('زيارة', 'noun', 'visit;visiting'), ('مدينة', 'noun', 'city'), ('جديدة', 'adj', 'modern;new'), ('نوم', 'noun', 'sleep'), ('دراجة', 'noun', 'bicycle'), ('سباحة', 'noun', 'swimmer'), ('بحر', 'noun', 'sea'), ('شاطئ', 'noun', 'beach;coast;shore'), ('رحلة', 'noun', 'career;journey;trip;voyage'), ('جبل', 'noun', 'mountain'), ('تصوير', 'noun', 'characterization;depiction;filming;illustration;photography'), ('طبيعة', 'noun', 'natural;nature'), ('شاي', 'noun', 'tea'), ('قهوة', 'noun', 'coffee')]"
Beginner,ما هو حدث تاريخي مهم في بلدك؟ لماذا هو مهم؟,What is an important historical event in your country? Why is it important?,4,7,A,4,1,"[('تاريخ', 'noun', 'date;history'), ('مهم', 'adj', 'important;serious'), ('بلد', 'noun', 'country'), ('لماذا', 'adv_rel', 'why'), ('هو', 'pron', 'it/he'), ('الناس', 'noun', 'people'), ('كان', 'verb', 'be'), ('يوم', 'noun', 'day;some_day;today'), ('قديم', 'adj', 'ancient;old'), ('جديد', 'adj', 'modern;new'), ('تاريخي', 'noun', 'date;history'), ('قصة', 'noun', 'story'), ('مدينة', 'noun', 'city'), ('تقليد', 'noun', 'custom;imitation;tradition'), ('معروف', 'adj', 'known;well-known'), ('حرية', 'noun', 'freedom'), ('احتفال', 'noun', 'celebration;ceremony'), ('مكان', 'noun', 'location;place;position'), ('سنة', 'noun', 'year'), ('تغيير', 'noun', 'change;modification;replacement'), ('زعيم', 'noun', 'head_of_state;leader'), ('ملك', 'noun', 'king'), ('شعب', 'noun', 'nation;people')]"
Beginner,تحدث عن تقليد ثقافي في بلدك. ماذا تعرف عنه؟,Talk about a cultural tradition in your country. What do you know about it?,4,8,A,4,1,"[('تقليد', 'noun', 'custom;imitation;tradition'), ('بلد', 'noun', 'country'), ('احتفال', 'noun', 'celebration;ceremony'), ('عيد', 'noun', 'feast;festival;holiday'), ('طعام', 'noun', 'food'), ('موسيقى', 'noun', 'music'), ('رقص', 'noun', 'dance;dancing'), ('عائلة', 'noun', 'family;household'), ('شعبي', 'noun', 'nation;people'), ('تاريخ', 'noun', 'date;history'), ('قصة', 'noun', 'story'), ('معروف', 'adj', 'known;well-known'), ('يحب', 'verb', 'like;love'), ('يشارك', 'verb', 'participate_with;share_with'), ('يقدم', 'verb', 'introduce;offer;present'), ('يتحدث', 'verb', 'discuss;speak'), ('يستمتع', 'verb', 'enjoy;relish'), ('يعرف', 'verb', 'know'), ('يوم', 'noun', 'day;some_day;today'), ('مكان', 'noun', 'location;place;position'), ('نشاط', 'noun', 'active;activity'), ('جميل', 'adj', 'beautiful;fine_(arts);nice'), ('بسيط', 'adj', 'plain;simple'), ('مختلف', 'adj', 'different;various'), ('تقاليد', 'noun', 'custom;imitation;tradition'), ('تجربة', 'noun', 'experience;experiment'), ('قديم', 'adj', 'ancient;old'), ('جديد', 'adj', 'modern;new')]"
Beginner,ما هي أهمية الانتخابات في بلدك؟ هل تعرف من ينتخب؟,What is the importance of elections in your country? Do you know who votes?,5,9,A,5,1,"[('بلد', 'noun', 'country'), ('رئيس', 'noun', 'chairman;head;president'), ('شعب', 'noun', 'nation;people'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('حرية', 'noun', 'freedom'), ('اختيار', 'noun', 'choice;elder;preference;selection;senior'), ('واجب', 'noun', 'duty;obligation;requirement'), ('تغيير', 'noun', 'change;modification;replacement'), ('مستقبل', 'noun', 'future'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('صحة', 'noun', 'authenticity;correctness;health;truth'), ('نتائج', 'noun', 'consequence;result'), ('أمان', 'noun', 'protection;safety')]"
Beginner,كيف يؤثر الحكومة على حياتك اليومية؟ هل لديك مثال؟,How does the government affect your daily life? Do you have an example?,5,10,A,5,1,"[('حياة', 'noun', 'life'), ('يومية', 'adj', 'daily'), ('مثال', 'noun', 'example;model;proverb'), ('تعليم', 'noun', 'education;instruction;precept;teaching'), ('صحة', 'noun', 'authenticity;correctness;health;truth'), ('طريق', 'noun', 'road;way'), ('عمل', 'noun', 'action;activity;work'), ('مال', 'noun', 'asset;capital;fund;money'), ('نظام', 'noun', 'government;methodology;order;regime;system'), ('أمن', 'noun', 'safety;security'), ('كهرباء', 'noun', 'electricity'), ('ماء', 'noun', 'water'), ('سكن', 'noun', 'housing'), ('مدرسة', 'noun', 'school'), ('مستشفى', 'noun', 'hospital'), ('مدينة', 'noun', 'city'), ('قرية', 'noun', 'village'), ('واجبات', 'noun', 'duty;obligation;requirement')]"
